TwCty11CD,Age65plus,Age75plus,Age85plus,MeanAge,MedianAge
E34000007,0.228372434,0.105388563,0.026576246,44.5,47
E34000016,0.224186779,0.122612802,0.04386149,43.4,44
E34000020,0.164641173,0.080565741,0.023153483,38.7,37
E34000026,0.197697931,0.097371286,0.028309224,42.1,43
E34000027,0.301451672,0.171444322,0.050808526,46.3,47
E34000039,0.214742112,0.113233647,0.035307292,42.9,43
E34000048,0.185128467,0.085587885,0.024672452,41.4,42
E34000055,0.232483017,0.115243931,0.033965132,43.1,44
E34000056,0.191716157,0.08786356,0.02680067,41.5,43
E34000067,0.161396616,0.077624992,0.023762753,40.1,40
E34000068,0.210704498,0.098339513,0.033693374,43,45
E34000086,0.149826713,0.06744868,0.021994135,39,39
E34000109,0.330565845,0.170264402,0.057861796,49.9,54
E34000115,0.173646382,0.081264974,0.025970292,40.5,41
E34000156,0.220921,0.097459309,0.026200873,44.1,46
E34000161,0.184872876,0.078063115,0.02223074,41.2,42
E34000174,0.178272652,0.085012372,0.022740662,40.7,42
E34000175,0.195520849,0.096950052,0.027700015,42,43
E34000181,0.158076272,0.071163608,0.017782767,39.4,40
E34000182,0.232608696,0.111231884,0.035326087,43.9,45
E34000184,0.139016132,0.066719777,0.019717188,36.4,33
E34000188,0.206307054,0.09560166,0.02406639,42.8,45
E34000193,0.159602142,0.06503443,0.017597552,40.1,41
E34000214,0.113824057,0.054802513,0.013105925,33.4,31
E34000231,0.297910025,0.162283032,0.055614594,47.7,50
E34000234,0.174368932,0.084466019,0.023300971,40,40
E34000242,0.409257473,0.228158149,0.088138862,53.1,59
E34000250,0.187637114,0.097948122,0.03432701,41.2,42
E34000271,0.250668449,0.13057041,0.032865419,45.1,46
E34000273,0.239260407,0.111824624,0.038529672,44.7,46
E34000278,0.168702885,0.076163244,0.021055368,40.6,41
E34000290,0.222502677,0.117179134,0.0360257,42.4,43
E34000306,0.129821023,0.060120998,0.020544492,39,41
E34000310,0.167164955,0.077343039,0.016118549,40.3,42
E34000313,0.19455978,0.098277046,0.027985746,42.2,43
E34000323,0.011937378,0.005283757,0.001174168,21.8,20
E34000327,0.133131171,0.057838098,0.014200658,36.7,36
E34000353,0.371323529,0.179812834,0.051804813,53.5,59
E34000360,0.160537964,0.065202588,0.013449098,39.4,40
E34000363,0.209383625,0.112971481,0.036430543,42.6,44
E34000387,0.181984286,0.077288507,0.023387539,41.9,44
E34000396,0.182991202,0.08797654,0.02111437,39.9,40
E34000403,0.242797398,0.127904275,0.044086896,44.5,46
E34000409,0.285060758,0.140814868,0.040171551,47.7,51
E34000416,0.207785578,0.107849394,0.037779196,42.3,43
E34000430,0.22455194,0.113885505,0.03862885,42.6,42
E34000440,0.138869846,0.064538243,0.017432181,37.9,37
E34000458,0.181214906,0.083971414,0.026033691,41.6,43
E34000469,0.301060012,0.166513647,0.062181788,47.1,49
E34000473,0.139788098,0.057833243,0.016960509,37.8,38
E34000482,0.279221744,0.131887717,0.030595574,46.5,49
E34000490,0.23177876,0.112060219,0.034593356,44.1,46
E34000499,0.232711252,0.114895302,0.031434087,43.8,46
E34000504,0.179469027,0.078938053,0.022654867,40.9,42
E34000508,0.174377486,0.073449241,0.020111979,42,44
E34000509,0.26617755,0.131474688,0.033895818,45.1,46
E34000521,0.201392988,0.10305749,0.037893991,43.4,45
E34000527,0.146530983,0.065751588,0.022324774,38.3,37
E34000550,0.23175736,0.109901873,0.033184657,44.9,47
E34000553,0.177237354,0.073346304,0.019649805,41.7,44
E34000567,0.203508942,0.102990355,0.031842195,42.3,45
E34000573,0.226840437,0.10787249,0.030908771,44.2,45
E34000574,0.190058987,0.082191187,0.022380291,42.2,43
E34000589,0.27158444,0.129981025,0.038543643,46.7,50
E34000591,0.237989779,0.122827939,0.03560477,43.3,44
E34000597,0.131749316,0.064189415,0.019321898,35.8,30
E34000628,0.241841686,0.119605882,0.026780753,45,47
E34000633,0.231780858,0.120704884,0.036618213,43.9,45
E34000645,0.211773766,0.099084453,0.02969111,43,45
E34000656,0.185733096,0.094880335,0.0267214,39.5,39
E34000682,0.204780876,0.100557769,0.03314741,42.8,45
E34000692,0.168072358,0.082318818,0.025913063,40,41
E34000697,0.162799263,0.08305709,0.027992634,40.6,41
E34000710,0.234927235,0.124173124,0.038556039,44.2,45.5
E34000712,0.282432119,0.140867951,0.046298445,47.2,50
E34000732,0.213159192,0.111508132,0.038935436,43.7,46
E34000741,0.241350068,0.085651289,0.018995929,45.4,49
E34000755,0.228262502,0.117685338,0.036592081,42.6,44
E34000762,0.219065732,0.102935932,0.027695234,43.7,46
E34000766,0.232737065,0.120984805,0.043662243,44.8,47
E34000768,0.225914274,0.09437672,0.030279198,45.4,49
E34000776,0.372675764,0.157609129,0.04006065,51.8,59
E34000786,0.194508933,0.090844857,0.030887251,41.9,43
E34000792,0.188178694,0.091546392,0.025429553,42,43
E34000796,0.406078447,0.23645477,0.081152041,53.5,59
E34000815,0.212459909,0.11828166,0.036932647,43.3,43
E34000830,0.182324738,0.084877543,0.020603862,41.5,44
E34000839,0.072206378,0.027482499,0.004537205,32.8,33
E34000843,0.148010789,0.06945381,0.022420769,39,40
E34000850,0.146858029,0.070830101,0.019472459,38.9,39
E34000852,0.199589776,0.10066267,0.030924582,42.8,44
E34000857,0.138807805,0.066907359,0.02173913,38.8,40
E34000867,0.159733356,0.072314573,0.023120412,40,42
E34000879,0.280246317,0.126539483,0.02777107,46.7,49
E34000884,0.208121827,0.104142787,0.029965613,43.3,45
E34000885,0.172193878,0.077933673,0.020280612,40.2,41
E34000891,0.205553309,0.090780429,0.025879499,42.5,43
E34000922,0.208115494,0.10295865,0.028754753,42.5,43
E34000926,0.300224782,0.162124192,0.058021916,47.2,49
E34000935,0.204479929,0.097139055,0.029163894,41.9,43
E34000969,0.208179012,0.102623457,0.029166667,43.5,45
E34000970,0.176627332,0.090978302,0.026836696,39.8,40
E34000980,0.224725944,0.11047503,0.03410475,42.9,43
E34000991,0.166750345,0.077821012,0.018702146,39.4,40
E34000994,0.208754209,0.108963195,0.034831069,42.2,42
E34001024,0.195022509,0.08663892,0.025566975,41,41
E34001039,0.191949027,0.089624035,0.027005359,41.4,42
E34001050,0.166793458,0.062761506,0.011981742,40.7,42
E34001052,0.213435223,0.104673894,0.033410343,43.3,45
E34001064,0.232936791,0.111452223,0.032454361,44.5,47
E34001066,0.255734794,0.120911647,0.036702679,45.4,48
E34001067,0.27811174,0.138702263,0.044466054,46.7,49
E34001068,0.251278167,0.109022912,0.028403711,45.2,47
E34001070,0.19165557,0.090901021,0.025832224,42.9,45
E34001073,0.114346413,0.041489628,0.007873032,35.1,35
E34001102,0.146434838,0.062051364,0.015632477,38.3,39
E34001108,0.221984678,0.102797078,0.029574203,43.3,45
E34001117,0.172608258,0.070140987,0.018126888,40.4,41
E34001119,0.149047833,0.067026541,0.021592443,39.2,40
E34001126,0.190225884,0.081545674,0.021878108,41.9,45
E34001129,0.245323883,0.111242371,0.032880488,45.2,47
E34001202,0.161072883,0.079904508,0.028085943,39.2,39
E34001214,0.212584196,0.101363562,0.033678331,42.7,44
E34001232,0.240874656,0.127582645,0.042527548,43.4,44
E34001233,0.191024987,0.087608363,0.024987251,42,43
E34001247,0.169540562,0.075569957,0.025460016,41,42
E34001263,0.176717621,0.086930959,0.030404838,40.3,41
E34001267,0.172600868,0.080212185,0.02399132,40.1,40
E34001322,0.274296991,0.137148495,0.036507153,46.9,50
E34001339,0.154732194,0.06296794,0.016317911,38.9,39
E34001373,0.224409449,0.108496612,0.034517488,42.7,43
E34001392,0.176121617,0.061920653,0.018724509,40.4,41
E34001398,0.211717013,0.106708513,0.034784883,41.8,42
E34001401,0.182037037,0.088703704,0.024074074,41.8,44
E34001416,0.196274975,0.100169319,0.030680664,41.7,42
E34001422,0.218350755,0.109368951,0.033681765,43.3,44
E34001430,0.212167757,0.115667156,0.039935889,42.5,43
E34001434,0.206955357,0.101528717,0.030147999,42.2,43
E34001445,0.167365378,0.076617275,0.021467293,40.2,41
E34001461,0.165521978,0.083398744,0.024430926,39.7,38
E34001475,0.230620155,0.110465116,0.028473465,43.5,45
E34001481,0.267246299,0.134042767,0.035449327,46.4,49
E34001491,0.130256324,0.059892779,0.015664265,35.5,33
E34001493,0.223853211,0.109633028,0.034556575,43.7,45
E34001504,0.199881942,0.100213413,0.02778913,42,43
E34001518,0.267110519,0.138082557,0.043408788,46,48
E34001520,0.247826858,0.106616995,0.025900302,44.8,47
E34001537,0.208883553,0.098439376,0.027611044,42.4,43
E34001545,0.213658804,0.111354909,0.034741269,42,42
E34001604,0.182838374,0.082865745,0.026070891,40.2,40
E34001609,0.288619256,0.134366925,0.035613976,47.2,50
E34001645,0.189880425,0.09289194,0.025963242,41,42
E34001686,0.157850895,0.068304873,0.016937387,39.3,40
E34001696,0.146864044,0.064666926,0.014413713,38.5,39
E34001704,0.16352,0.074944,0.024064,40,41
E34001711,0.133146572,0.066361858,0.017680639,38,39
E34001715,0.225271048,0.113862491,0.036318208,43.9,46
E34001733,0.189607843,0.090980392,0.03254902,41.9,43
E34001739,0.200878156,0.085620198,0.023365219,43.2,45
E34001750,0.187265397,0.090504657,0.023495065,41,42
E34001759,0.270208807,0.124767418,0.033801943,46.5,50
E34001766,0.207329445,0.096626934,0.029926452,43.6,45
E34001807,0.24864614,0.109237196,0.030326474,45.2,47
E34001850,0.121531346,0.058838643,0.02065776,36.4,36
E34001881,0.197761846,0.09407239,0.031299178,41.8,42
E34001895,0.292346802,0.140353225,0.041878512,48.5,52
E34001896,0.157568147,0.076013888,0.018763389,38.9,39
E34001940,0.237989104,0.111688955,0.037270926,44.5,46
E34001958,0.178764143,0.077806789,0.019181897,41,42
E34001962,0.16761314,0.08393762,0.026712389,39.4,39
E34001966,0.235966584,0.107137623,0.027846988,43.9,45
E34001982,0.129596679,0.059707394,0.016211941,37.1,37
E34001993,0.181511897,0.083175405,0.023057486,41,41
E34002010,0.251687177,0.133187773,0.040095276,45.2,47
E34002041,0.192013792,0.092815208,0.028422328,41.8,43
E34002053,0.199387746,0.09602485,0.030162517,41.2,41
E34002054,0.163600251,0.069098892,0.019443864,40.4,41
E34002061,0.217422008,0.105470859,0.028455116,42.2,43
E34002074,0.162671737,0.074345858,0.018827499,39.7,40
E34002085,0.269016932,0.140763204,0.039550164,45.1,46
E34002105,0.220252301,0.115410842,0.039549949,43.8,47
E34002125,0.183230306,0.096211761,0.03106673,41.1,42
E34002141,0.171518898,0.082381473,0.02410056,39.8,40
E34002160,0.274778684,0.149626801,0.051900712,45.6,46
E34002161,0.279929577,0.141627543,0.041862285,48.4,52
E34002164,0.114012885,0.053037276,0.009433962,37.3,39
E34002172,0.127025517,0.049543677,0.012106538,36.6,34
E34002176,0.168739136,0.06551678,0.010830325,40.2,41
E34002180,0.196096884,0.100203081,0.031849027,42,42
E34002182,0.182889898,0.078087822,0.018494484,40.8,42
E34002191,0.186423207,0.085407157,0.017964954,42,44
E34002199,0.243612181,0.103371835,0.028701435,45.7,48
E34002202,0.166222391,0.073115004,0.022467631,40.3,42
E34002212,0.206020067,0.089297659,0.025752508,42.1,44
E34002254,0.220636994,0.109313775,0.031749221,43.1,44
E34002257,0.120524711,0.056147387,0.016877637,36.2,35
E34002285,0.184933395,0.091042719,0.024621038,40,40
E34002367,0.287514439,0.164548987,0.058489972,45.1,46
E34002384,0.201466127,0.098078868,0.028311426,43.2,44
E34002432,0.181365898,0.080054274,0.025026383,40.6,42
E34002433,0.248825372,0.135865309,0.050117463,44.3,45
E34002446,0.255421057,0.136898023,0.044761822,45,46
E34002470,0.145223464,0.071424581,0.021117318,38.5,39
E34002474,0.217591772,0.117042029,0.038038659,42.2,42
E34002475,0.205945629,0.098963427,0.028945824,42.1,43
E34002505,0.300269236,0.152472722,0.045203344,48.4,52
E34002511,0.16606589,0.080224663,0.024561992,40.1,41
E34002512,0.21838742,0.102656222,0.02774015,43.8,46
E34002528,0.181874325,0.093253049,0.029952138,41.5,43
E34002529,0.259068312,0.126680169,0.0379304,45.4,47
E34002540,0.101937795,0.042664061,0.011398795,36.5,36
E34002554,0.172804061,0.072774934,0.019514834,40.1,41
E34002562,0.18034188,0.099671269,0.035502959,41.1,42
E34002605,0.224698658,0.114851035,0.033735122,43.2,44
E34002608,0.157053637,0.062454078,0.016164585,40,42
E34002609,0.147906471,0.070811431,0.021509274,38.7,39
E34002624,0.196235409,0.098881623,0.032817943,41.1,41
E34002637,0.325308057,0.164265403,0.051374408,49,53
E34002653,0.199749642,0.093526466,0.032635908,42.3,44
E34002678,0.249244713,0.128566633,0.049345418,45.5,46
E34002686,0.272088353,0.131191432,0.044344043,47.3,51
E34002689,0.170736404,0.079918348,0.017986443,40.1,42
E34002694,0.206246037,0.092105263,0.023145212,41.9,43
E34002712,0.330627871,0.156355283,0.039356815,49,53
E34002717,0.174873221,0.067724522,0.017503681,40.3,41
E34002727,0.121418338,0.056948424,0.01737106,37.9,38
E34002729,0.12070747,0.054883608,0.017139731,38.7,39
E34002730,0.179134955,0.077222944,0.022090217,41.3,43
E34002733,0.190437084,0.085378836,0.024181038,41.4,42
E34002746,0.184041934,0.087070472,0.019947583,41.8,43
E34002766,0.203690198,0.089191949,0.022462077,42.5,44
E34002796,0.133638544,0.054937868,0.014824504,37.9,38
E34002801,0.176257753,0.072794624,0.017229497,40.5,42
E34002816,0.206914919,0.102755315,0.033557697,41.4,41
E34002820,0.181036045,0.088196333,0.027734784,40.6,41
E34002826,0.182072394,0.093211123,0.027031226,40.5,42
E34002854,0.190016482,0.085001177,0.026136096,41.4,42
E34002872,0.20584185,0.105022831,0.029499166,41.7,43
E34002877,0.185669317,0.093741664,0.030251294,40.7,40
E34002878,0.209457411,0.102606851,0.032585632,43,45
E34002906,0.197050226,0.095136859,0.030826468,41.5,42
E34002917,0.237724551,0.121257485,0.033832335,43.5,45
E34002927,0.19392379,0.101750772,0.029248198,41.2,42
E34002963,0.028558971,0.011336385,0.002725093,26.5,25
E34002971,0.174681754,0.085572843,0.019448373,40.2,40
E34002993,0.18389662,0.084402675,0.022049521,41.1,42
E34003008,0.285904255,0.144614362,0.046542553,47.7,51
E34003021,0.258183944,0.127045986,0.035268901,45.5,48
E34003024,0.215414326,0.101299157,0.029494382,43.3,45
E34003029,0.231506937,0.123841187,0.03823285,43.5,44
E34003071,0.17656547,0.084279048,0.022351518,40.6,41
E34003078,0.181576365,0.082481195,0.023699989,40.9,42
E34003082,0.23234741,0.108052659,0.026842195,44.4,46
E34003098,0.191040843,0.092621871,0.025296443,42.2,43
E34003102,0.186638182,0.085841911,0.023888134,40.7,41
E34003104,0.287545678,0.133529024,0.04277242,47.3,51
E34003109,0.182247403,0.084446243,0.024011871,40.2,40
E34003112,0.195405239,0.09537454,0.029164961,40.4,40
E34003124,0.229615082,0.123095051,0.038256088,43.2,44
E34003129,0.303454956,0.150080723,0.045334194,48.5,52
E34003154,0.18836387,0.085663774,0.019607843,41.4,43
E34003165,0.3149628,0.174979333,0.057316065,47.8,50
E34003168,0.250959151,0.138117806,0.047054841,44.6,45
E34003174,0.20098475,0.104356151,0.03179922,42.3,43
E34003178,0.246912231,0.120887529,0.040113674,45.3,48
E34003196,0.182911944,0.088927637,0.028770706,39.7,41
E34003205,0.147964549,0.070001502,0.021030494,39.8,41
E34003206,0.254303376,0.128388017,0.038421303,44.6,46
E34003218,0.175336765,0.074252546,0.020917753,40.1,41
E34003222,0.173556108,0.086084292,0.026189513,40.8,42
E34003241,0.141330576,0.066184074,0.01895898,36.6,34
E34003243,0.200308642,0.098919753,0.029166667,42,43
E34003244,0.246510846,0.124516563,0.037750126,45.9,49
E34003253,0.220535958,0.120864096,0.045255674,43,43
E34003258,0.239711332,0.13302126,0.045055588,43.6,44
E34003294,0.150341554,0.069642237,0.018756513,38.3,39
E34003297,0.064619922,0.020914332,0.003753854,31.7,35
E34003299,0.177618248,0.093672205,0.031436346,40.2,42
E34003308,0.254110182,0.130660513,0.041534468,44.2,45
E34003332,0.214550207,0.091156611,0.023524287,43.5,45
E34003343,0.222670757,0.110877873,0.034662791,43.3,44
E34003347,0.228983918,0.113486842,0.035453216,44.1,45
E34003354,0.145880595,0.066454936,0.018842243,39,39
E34003376,0.115548098,0.050559284,0.015771812,37.7,39
E34003389,0.206433896,0.102000785,0.027775598,42.7,44
E34003397,0.217605249,0.106178239,0.030399125,42.2,42
E34003412,0.182788413,0.095544638,0.035066915,40.8,41
E34003418,0.203853592,0.10708402,0.037031731,42,42
E34003424,0.177192635,0.0795882,0.025737478,40.9,42
E34003425,0.199666784,0.086197825,0.025429674,42.3,43
E34003440,0.133320581,0.061208875,0.025057383,38.8,41
E34003456,0.211882488,0.113737075,0.028229115,42.6,44
E34003462,0.21187744,0.101423558,0.025750227,41.8,43
E34003463,0.190657578,0.095328789,0.027064956,41.4,42
E34003490,0.307135096,0.143245201,0.041470482,49.8,55
E34003491,0.181244947,0.08916734,0.028132579,41.1,42
E34003494,0.254584028,0.137141991,0.050310653,45.2,46
E34003511,0.164583333,0.083564815,0.025661376,39.2,40
E34003514,0.323857503,0.176142497,0.054875855,48.7,51
E34003517,0.205422315,0.106265997,0.034884823,41.8,42
E34003525,0.167587667,0.079378196,0.024092341,39.7,40
E34003541,0.186102951,0.091582578,0.029761144,41.5,43
E34003553,0.185787625,0.091704945,0.027289922,40.7,41
E34003561,0.221240335,0.103045605,0.029035821,42.9,45
E34003562,0.155116697,0.067863555,0.018850987,37.9,38
E34003565,0.322030614,0.161402829,0.044371246,48.7,52
E34003566,0.24892633,0.132144037,0.047737033,44.8,47
E34003574,0.176727642,0.084247967,0.021747967,40.7,41
E34003596,0.168309267,0.083276033,0.02452441,39.9,40
E34003597,0.180674383,0.078761953,0.021389029,39.8,40
E34003606,0.260691647,0.13784803,0.044531814,44.7,46
E34003628,0.388684179,0.214311185,0.075121835,53.1,59
E34003657,0.174758701,0.072243346,0.013454226,40.7,42
E34003678,0.180081451,0.081821548,0.023176601,41.4,42
E34003679,0.279298884,0.141786025,0.044729762,45.4,47
E34003687,0.227276167,0.110724287,0.033224854,44.6,47
E34003688,0.174679487,0.077323718,0.017427885,40.7,43
E34003707,0.190760415,0.099558314,0.032350483,41.2,42
E34003710,0.16641047,0.085292021,0.028613876,39.5,38
E34003723,0.202994881,0.093093437,0.027733211,42.7,44
E34003741,0.170415094,0.063245283,0.015396226,40,41
E34003742,0.177758768,0.090333618,0.030624465,41.4,42
E34003743,0.19733721,0.089142245,0.025862729,42,43
E34003749,0.207852564,0.091987179,0.022115385,43.2,45
E34003750,0.183326696,0.089472986,0.02442586,40.9,41
E34003756,0.176348081,0.08122256,0.02138917,41.4,43
E34003761,0.247484175,0.127576692,0.039360493,45,47
E34003769,0.187941515,0.095011226,0.031652155,41.3,42
E34003774,0.184981012,0.092980522,0.023153252,40.8,42
E34003793,0.238512746,0.11105699,0.032148076,43.5,46
E34003804,0.233802443,0.106943707,0.028279341,44.9,47
E34003809,0.149687385,0.066568591,0.020522251,39.7,41
E34003851,0.174865394,0.08639256,0.026676456,40.6,41
E34003862,0.198220827,0.086656201,0.024594453,41.7,42
E34003864,0.20313535,0.099212483,0.027673511,41.8,43
E34003866,0.177773675,0.075318442,0.024183127,39.3,38
E34003892,0.187909546,0.083001413,0.021970962,42,44
E34003904,0.207871372,0.111444852,0.035602279,42.4,43
E34003922,0.195822454,0.089588773,0.028720627,41.8,43
E34003928,0.224026283,0.119369584,0.043614894,44,45
E34003940,0.195465686,0.08471201,0.02466299,41.6,42
E34003989,0.204235212,0.098354918,0.032026601,41.4,42
E34004012,0.272165585,0.137472969,0.043404387,46.4,48
E34004090,0.235912052,0.115635179,0.036074919,44,46
E34004099,0.233444701,0.113509809,0.030926069,43.9,45
E34004122,0.226765799,0.113273562,0.037393396,44.6,46
E34004125,0.187190012,0.094236361,0.028818197,41.4,42
E34004134,0.150874397,0.07062597,0.01961265,38.2,38
E34004138,0.179109202,0.08808501,0.026362198,40.6,41
E34004141,0.17327182,0.07842989,0.018832249,40,40
E34004142,0.208834356,0.103312883,0.029079755,41.6,42
E34004143,0.141948214,0.063383401,0.01687271,37.1,36
E34004149,0.187382434,0.091448416,0.029662856,40.6,41
E34004151,0.178454738,0.079185086,0.018931386,40.6,41
E34004153,0.283112318,0.152420514,0.049262395,47.2,50
E34004154,0.263176019,0.135712609,0.043891367,45.2,46
E34004155,0.200069914,0.083546959,0.021323701,42.6,45
E34004157,0.160809936,0.073989052,0.023838955,38.9,39
E34004162,0.149660989,0.071440384,0.022490491,39,40
E34004169,0.22759283,0.113316261,0.043854033,43.8,45
E34004170,0.133819145,0.067019985,0.019432483,39.1,40
E34004175,0.217929668,0.109088658,0.033927687,43.9,46
E34004181,0.175230392,0.080996265,0.021945236,41.1,42
E34004185,0.18280859,0.079024187,0.020746455,42,43
E34004187,0.256955412,0.147855668,0.052727494,45.5,47
E34004190,0.176283914,0.088723014,0.021230948,40.5,41
E34004191,0.22462241,0.117053038,0.039339656,44,46
