BUA22CD,ResPop65plus,ResPop75plus,ResPop85plus
E63002831,24.1,12.2,4
E63002833,18,8,2
E63002862,14.7,7,2.1
E63002864,28.1,14,4.3
E63002871,29.2,15.1,5.7
E63002876,13,5.5,1.4
E63002880,15.5,7.2,2
E63002882,23.3,11.8,3.4
E63002884,23.9,12.3,3.1
E63002887,15.6,7.4,1.8
E63002889,10.5,4.8,1.4
E63002901,22.9,11.6,3.5
E63002903,34.7,18.7,4.3
E63002904,12.6,5.8,1.7
E63002906,17.3,8.6,2.9
E63002907,17.7,8.6,1.9
E63002909,24.4,12.1,3.2
E63002913,18.1,7.6,1.8
E63002915,21,9.8,2.5
E63002918,20.2,9.7,2.8
E63002919,16.6,8,2.5
E63002927,22.9,11.1,3
E63002929,21.7,10.7,2.8
E63002941,21.5,10.2,2.7
E63002944,22.7,11,3.2
E63002951,20.3,8.7,2.2
E63002952,19.6,8.9,2.4
E63002956,28.7,14.8,4.4
E63002958,15.9,7.5,2.1
E63002980,20.6,8.1,1.9
E63002991,19.9,10.1,3
E63002995,22.7,13.3,3.9
E63002996,26.3,14.3,4.6
E63003006,14.4,6.9,2
E63003011,22,11.3,3.6
E63003015,16.4,6.7,1.7
E63003016,17.2,8.1,2.2
E63003035,24.8,12.7,3.8
E63003044,27.9,14.3,3.7
E63003049,22,10.3,2.6
E63003068,16.7,8.3,2.3
E63003073,32.5,15.4,3.7
E63003075,26.4,13.6,4.2
E63003081,18.9,9.2,2.7
E63003087,32.3,17,5.5
E63003088,15.9,7.1,1.6
E63003119,22.3,10.3,2.8
E63003126,9.1,4.5,1.4
E63003129,16.9,8,2.5
E63003134,20.6,8.7,2.3
E63003136,15,7.1,2.1
E63003147,21,9.6,2.6
E63003152,26.4,14,4.3
E63003157,28.2,13.7,3.5
E63003177,17.6,7.7,2.1
E63003178,17.5,8.7,2.5
E63003192,20,9.6,2.9
E63003193,18,7.4,2.2
E63003199,6,2.3,0.6
E63003204,16.7,7.4,1.7
E63003218,19.6,8.9,2.5
E63003230,15.9,7.2,2.1
E63003251,22.5,10.8,3.6
E63003260,23.2,11.3,3.4
E63003267,19.5,8.9,2.4
E63003268,18.2,7.5,1.8
E63003269,9.2,4.3,0.9
E63003278,15.9,7.7,2.4
E63003283,16,7.7,2.4
E63003308,16.6,7.7,2.2
E63003313,22,11.4,3.3
E63003319,20.8,8.8,2
E63003321,18.1,8.9,2.7
E63003328,25.9,13.3,3.7
E63003332,23.3,12,4.6
E63003342,16.5,7.2,1.8
E63003344,18.5,9.5,2.8
E63003350,22.9,10.9,3
E63003358,25.5,11.9,3.2
E63003369,20.4,10.6,3.2
E63003390,14.5,6.5,1.9
E63003403,18.6,8.7,2.3
E63003414,5.4,2.7,0.7
E63003426,24.9,12.3,3.9
E63003439,18.5,8.9,2.8
E63003443,11.2,5.3,1.6
E63003447,29.2,15.2,4.6
E63003490,17.2,7.9,2.2
E63003491,28,14.4,4.6
E63003496,23.4,11.7,3.2
E63003502,24.3,12.3,3.9
E63003551,25.4,13.5,4.8
E63003553,19.5,8.8,2.3
E63003563,24.6,11.6,3.5
E63003597,15.6,7.4,2.5
E63003598,18.3,7.6,2.1
E63003614,22.5,10.8,3.4
E63003618,19.8,8.1,2.3
E63003623,32.8,17.9,6.5
E63003643,16.7,6.8,2.1
E63003664,15.8,6.6,1.8
E63003695,26.7,13.3,4.2
E63003697,29.5,15.6,4.5
E63003709,16.4,7.5,2
E63003712,20.3,10.2,3.1
E63003723,14.8,7,1.7
E63003736,16.8,7.8,2.4
E63003738,7.8,3.7,1.1
E63003740,15.4,6.9,2
E63003760,21.1,9.1,2.7
E63003770,19.3,9,2.7
E63003775,26.7,14,4.5
E63003783,13.7,6.3,1.1
E63003795,11.7,4.8,1.1
E63003805,23.1,11.7,3.2
E63003814,19.7,9.1,2.6
E63003818,15.1,7.1,2
E63003822,27.4,13.9,4.1
E63003830,19,9.4,2.8
E63003845,16.2,7.4,2.4
E63003858,11.6,4.4,1.1
E63003866,20.9,10.5,3.8
E63003882,16.3,7.5,2.3
E63003884,18.2,9.4,2.9
E63003888,31.6,16.8,5.5
E63003898,15.9,6.8,1.6
E63003899,14.5,5.8,1.7
E63003927,17.6,7.6,2
E63003946,29.3,14.5,4.4
E63003956,17.6,8.1,2.3
E63003957,18.7,9.5,3.2
E63003960,16.1,7.4,2
E63003977,20.1,10.1,3.1
E63003982,25.2,13,4.1
E63003985,21.3,10.3,2.8
E63004012,24.8,11.9,3.3
E63004016,20.6,10,2.7
E63004029,18.9,8.9,2.3
E63004031,17.4,8.6,2.9
E63004063,23.2,11.4,2.9
E63004070,21.3,11.1,3.4
E63004082,24.1,12.5,3.8
E63004097,24.8,12.4,3.2
E63004104,14.6,6.9,2.1
E63004105,17.1,7.7,2.1
E63004113,14.8,6.9,2.2
E63004118,16,7.6,2.3
E63004125,28.5,14.5,4.5
E63004127,12.3,4.9,1.4
E63004136,18,8.4,2.5
E63004145,12,5.6,1.6
E63004154,13.3,6,1.7
E63004157,25.3,11.8,2.7
E63004164,12.6,4.8,1.5
E63004165,21.1,10.5,3.4
E63004173,18.6,9.2,2.9
E63004175,16.8,8,2.1
E63004180,39.4,20.1,5.8
E63004186,14.3,6.2,1.3
E63004187,15.7,6.9,1.6
E63004191,15.6,7.3,2.4
E63004192,21.4,11.2,3.2
E63004193,35.4,17.8,5.6
E63004269,17.1,8.2,2.4
E63004275,28,13.7,3.6
E63004289,13.6,6,1.7
E63004294,26.4,12.7,3
E63004300,29.9,15,4.3
E63004312,17.6,7.7,1.9
E63004320,21.9,10.4,2.8
E63004324,18.5,9.4,3.3
E63004326,17.7,9.1,2.8
E63004327,21.6,9.7,2.5
E63004332,22.8,11.5,3.9
E63004341,38.1,19.5,5
E63004343,12.3,5.1,1.3
E63004347,12.4,5.4,1.6
E63004349,16.3,7.9,2.7
E63004353,36.7,18.2,5.1
E63004358,16.3,7.8,2.4
E63004360,19.6,8.1,1.8
E63004362,24.5,12.9,4
E63004371,20.3,9.7,2.8
E63004387,25.4,12.8,4
E63004405,19.6,10,3.3
E63004408,14.5,6.6,2.1
E63004413,23.8,12.6,3
E63004421,9.9,4.7,1.6
E63004422,24.1,11.9,3
E63004426,18.5,9.8,3.1
E63004427,18.6,8.9,2.5
E63004435,19.6,9.4,3.1
E63004441,14.8,7.1,2.3
E63004442,16.6,8,2.4
E63004443,23.8,11.7,3.4
E63004449,15.4,7.1,2.3
E63004458,12.1,5.7,1.8
E63004461,12.7,5.9,1.4
E63004471,21.7,10.6,3.3
E63004474,21.4,9.9,3.2
E63004476,28.4,14.4,4.3
E63004484,20.7,9.3,2.6
E63004509,25.5,13.1,4.1
E63004514,19.2,9.3,2.5
E63004521,16.1,6.8,1.7
E63004526,28.3,16,5.9
E63004531,24.5,11.5,3.1
E63004537,22.7,10.5,2.8
E63004539,25.8,12.2,3
E63004541,17.7,8.9,2.7
E63004542,17.1,8.4,2.5
E63004551,19,9.2,3
E63004569,20.2,9.6,3.2
E63004573,21.9,11.3,3.9
E63004576,23.5,12.1,4.1
E63004586,20.4,9.2,2.4
E63004589,13.1,6.5,2
E63004592,17.8,8.7,2.5
E63004597,25.4,13.5,4.2
E63004604,25.4,11.7,3.4
E63004611,21.2,11.1,3.5
E63004612,25.5,11.6,3.7
E63004617,24.5,13.3,4.8
E63004632,20.5,10.8,3.5
E63004647,20,9.5,2.7
E63004650,19.3,9.7,3.1
E63004660,20.2,7.5,2
E63004663,18.9,9.6,3
E63004665,13.4,5.9,1.9
E63004669,16.2,7.8,2.4
E63004673,26.3,12.4,3.2
E63004678,19.6,10.2,3
E63004685,21.5,10.8,3.9
E63004689,24.8,12.3,3.3
E63004690,13.2,6.1,1.7
E63004697,18.1,8.6,2.4
E63004701,22,11.1,3.3
E63004703,23,12.5,3.9
E63004705,31.2,15.3,3.5
E63004708,18.5,8.9,2.9
E63004713,18.5,9.3,3.2
E63004716,18.3,9.1,2.8
E63004722,25.9,12.4,3.3
E63004724,25.7,12.2,3
E63004733,22.5,10.9,3.6
E63004734,19.7,9.3,2.6
E63004735,12.1,5.6,1.8
E63004736,23.7,11.9,3.1
E63004738,17.1,8.1,2.5
E63004742,26.9,12.2,3.4
E63004757,16.7,8.8,2.2
E63004759,23.2,11.6,3.6
E63004763,19,9.2,3
E63004769,21,11.6,3.9
E63004772,11.2,5.1,1.4
E63004773,22.9,12,4
E63004775,14.4,6.7,1.9
E63004776,23.2,11.8,3.4
E63004777,20.8,10.2,2.8
E63004778,20.4,9.4,2.5
E63004780,16.4,7.6,1.7
E63004784,21.4,11.3,3.7
E63004799,14.5,6.4,1.8
E63004807,20.2,10.4,3.5
E63004808,24.9,12.6,3.5
E63004812,21.7,11.3,4
E63004817,21.4,9.1,2.6
E63004820,19.2,9.2,2.8
E63004821,21.4,11.2,3.6
E63004822,22.5,11.4,3.3
E63004823,24.2,12.2,3.4
E63004834,23.3,12,3.9
E63004848,13.6,5.8,1.6
E63004854,22.5,10.7,2.8
E63004863,21.1,10.4,3.5
E63004875,25.5,11.5,2.7
E63004883,20.7,9.4,2.4
E63004884,18.6,8.6,2.1
E63004888,22.7,10.9,3.2
E63004889,18.9,8.5,2.8
E63004892,27.9,14.8,4
E63004893,24,13.8,4.3
E63004897,11.8,4.7,1.2
E63004901,13.1,6.6,1.7
E63004905,11,4.6,1
E63004911,24.9,13.6,3.9
E63004918,10.3,4.4,1.3
E63004919,28.8,15.9,5.4
E63004922,17.5,8.4,2.5
E63004923,12.3,5,1.4
E63004926,26.8,15.5,5.1
E63004935,15.6,8.1,2.4
E63004949,9.9,4.6,1.5
E63004954,10.8,3.7,0.7
E63004955,14.5,6.6,1.9
E63004958,16.7,8.5,3.1
E63004963,6,2,0.4
E63004978,4.9,1.1,0
E63004998,9.6,3.8,0.9
E63005002,23,11.3,3.1
E63005004,20,10.6,3.2
E63005007,17.5,8.8,2.9
E63005008,18,9,2.6
E63005018,17.6,8.6,2.6
E63005025,10.7,4.4,1.2
E63005027,23,11.4,3.5
E63005028,13.2,5.6,1.3
E63005030,12.5,5.6,1.7
E63005031,8.5,3.1,0.8
E63005037,12,6,1.9
E63005039,13.4,6,1.8
E63005045,18.4,8.6,2.5
E63005047,18.9,9.5,2.7
E63005052,23.2,10.2,2.1
E63005057,12.6,5.8,1.7
E63005058,15.6,7.5,2.3
E63005066,20,9.6,2.2
E63005074,12.7,5.8,1.7
E63005076,17.7,8.9,2.7
E63005090,13.9,6.3,1.8
E63005096,18.9,8.4,2.3
E63005100,12.9,6.3,2.2
E63005103,26.6,13.3,4.4
E63005105,17.5,8.7,2.6
E63005106,18.3,9.1,2.8
E63005107,30.3,15.3,4.6
E63005108,18.4,9.6,2.7
E63005109,21.8,10.4,2.9
E63005125,23.4,11.2,3.3
E63005127,24.8,13.8,5
E63005130,17.1,8.3,2.5
E63005132,15.7,7,2
E63005135,17.7,8.2,2.4
E63005145,13.3,5.7,1.6
E63005147,24.5,11.4,3
E63005149,28.9,13.5,3.6
E63005151,9.9,4.4,1.8
E63005152,22.2,11.6,4
E63005155,27.4,13.4,4
E63005159,21.2,11.1,3.5
E63005160,28.6,14.2,4.3
E63005161,20.4,10.4,3.5
E63005168,18.1,8.8,2.8
E63005177,27.4,15,4.9
E63005179,16.3,6.8,1.8
E63005180,17.9,8.2,2.5
E63005181,19,9.2,2.8
E63005183,11,4.3,1
E63005192,15.8,7.9,2.5
E63005194,15.5,7.4,2.2
E63005197,22.6,9.9,2.5
E63005199,21.9,10.6,2.9
E63005203,17.9,8.6,2.8
E63005204,17.5,7.7,2
E63005206,28.9,13.9,3.9
E63005212,14.7,6.3,1.6
E63005214,19.7,8.7,2.2
E63005221,18.1,9.6,3.1
E63005222,21.4,10.4,2.8
E63005226,16.7,8.7,2.9
E63005227,16.5,8.1,2.6
E63005233,20.7,10.5,3.1
E63005238,17,7.8,2.2
E63005239,15.7,7.5,2.2
E63005243,19.4,9.4,3
E63005246,21.1,10.7,3.1
E63005265,19.3,9.1,2.8
E63005279,21.9,10,2.5
E63005285,19.6,9.4,2.8
E63005288,17.6,8.8,2.9
E63005293,20.6,10.5,3.5
E63005296,24.6,12.3,4
E63005302,17.5,8.6,2.8
E63005303,15.5,6.6,1.8
E63005306,17.8,7.4,1.8
E63005312,23,11.4,3.3
E63005320,21.5,10.2,2.9
E63005323,21.2,10.3,3.1
E63005334,15.4,7.5,2.4
E63005337,28.7,14.1,4.6
E63005338,19.6,9.6,3.3
E63005342,19,9.7,3.1
E63005343,24,11.2,2.7
E63005349,21.3,11,2.4
E63005355,27.6,15.2,6.4
E63005362,23.1,12.2,3.9
E63005383,21.6,10.5,3.2
E63005384,23.3,12.1,3.7
E63005385,18.4,8.4,2.4
E63005388,19.7,9.4,2.3
E63005398,20.1,9.6,2.7
E63005399,24.2,12.4,4.1
E63005410,12.8,6.1,2
E63005413,15.3,7.2,2.3
E63005414,18.6,8.6,2.1
E63005441,20.4,10,3.1
E63005450,17.6,8.5,2.8
E63005457,18.5,9.7,3.2
E63005459,18.3,9.5,3.6
E63005464,28,14.3,4.2
E63005466,16.4,7.8,2.3
E63005468,12.3,5.2,0.9
E63005478,26.5,13.7,4.2
E63005481,16.8,7.4,1.9
E63005482,15.6,7.1,1.8
E63005485,26.3,13.2,4.4
E63005486,16,6.7,1.8
E63005494,22,11,3.2
E63005505,20.1,10.8,3.3
E63005507,27.1,14.1,4.5
E63005526,13.4,6.1,2
E63005532,11.6,5.6,1.3
E63005538,13.9,6.2,1.6
E63005546,28.1,13.6,3.9
E63005549,18.6,9.1,2.5
E63005550,20.7,11.2,4.2
E63005553,22.5,10.6,2.8
E63005564,19.5,8.8,2.4
E63005565,19.4,10.3,3.3
E63005571,14.2,6.3,1.6
E63005574,15.8,6.1,1.5
E63005577,13.8,6.6,2.2
E63005579,29.9,13.3,2.9
E63005580,17.4,8.9,3.1
E63005591,32.9,17,5.3
E63005598,13.6,6.3,1.8
E63005610,20.7,10.4,3.6
E63005616,21.7,10.9,2.9
E63005624,3.9,1.4,0.3
E63005631,20.2,9.1,2.6
E63005632,21.2,10.5,3.6
E63005652,20.7,9.2,1.9
E63005658,24.1,10.5,3.4
E63005666,18,9.2,3
E63005671,18.8,9.8,3.1
E63005680,20.1,10.7,4
E63005681,15.5,7.5,2.2
E63005682,34.3,18.7,6.3
E63005687,29.7,15.5,4.9
E63005704,19,10,3.4
E63005707,22.1,10.3,2.7
E63005708,24.3,12.1,3.6
E63005711,24.3,12.2,3.7
E63005718,17.8,7.3,1.9
E63005727,22.2,10,2.8
E63005730,22.1,10.8,3.4
E63005741,18.4,8.1,2.3
E63005745,17.3,8.5,2.5
E63005746,16.3,7.5,2.5
E63005766,16.9,8.2,2.3
E63005776,14.6,6.4,1.6
E63005781,18,7.7,2.2
E63005785,24.6,12.4,3.7
E63005802,21.1,10.7,3.8
E63005832,22.3,11.4,3.6
E63005834,16.2,7.6,1.8
E63005843,17.5,8.3,2
E63005846,16.2,8.1,2.7
E63005856,25.6,12.9,3.3
E63005857,22.8,11.1,3.3
E63005861,25.5,11.4,3.7
E63005876,20.9,10.1,3.1
E63005894,26.3,11.4,2.7
E63005907,13.1,5.7,1.9
E63005912,15.4,7,2.1
E63005913,29.7,15.8,4.4
E63005914,19,8.5,2.5
E63005917,21.2,10.6,3.4
E63005931,10.9,4.4,1.2
E63005934,26.9,15.4,6
E63005948,21.7,9,1.9
E63005954,35.2,17.8,5.4
E63005960,18.7,8.4,1.8
E63005963,34.5,18.8,5.6
E63005982,21.8,10.7,3.2
E63005985,20.6,10.5,3.9
E63006003,32.1,17.9,5.4
E63006011,32.6,17.5,5.4
E63006022,20.7,10.5,3.1
E63006026,20.7,10.4,3.6
E63006029,11.2,4.8,1.5
E63006038,22,10.9,3.6
E63006040,25.7,12.4,3.8
E63006064,17.8,9.3,3.2
E63006073,36.1,19.4,5.7
E63006076,30.1,15.8,5.4
E63006083,21.6,10,3.4
E63006105,14.9,6.4,1.7
E63006115,21.6,9.4,2.5
E63006117,26.8,13.8,4.4
E63006132,28.2,14.7,4.7
E63006150,17.7,9.2,2.7
E63006154,21.1,10.4,3.3
E63006170,19.1,9.7,3.1
E63006175,37.1,17.9,4.6
E63006182,24.6,12.7,4
E63006198,23.7,12,4
E63006226,26.5,13.6,4.2
E63006230,22.8,11.2,3.3
E63006232,29.6,15.9,4.7
E63006238,24.9,12.2,3.4
E63006241,21.3,10,2.8
E63006243,23.8,11.7,3.4
E63006262,26.5,13.9,3.7
E63006272,17.3,7.8,2.3
E63006275,19.4,9.4,2.9
E63006277,25.8,12.8,4.1
E63006303,27.7,13.7,3.9
E63006328,32.1,18.5,6.5
E63006330,22.9,12.2,4.1
E63006331,26.2,12.9,4
E63006340,29.1,16.2,5.2
E63006342,19,9,2.8
E63006362,23.7,11.3,3.3
E63006365,34,16.8,4.8
E63006368,28.7,15.3,5
E63006382,13.8,6.3,1.9
E63006386,17.1,8.1,2.3
E63006388,20.4,9.6,3
E63006399,17.3,8.2,2.3
E63006406,24.1,11.5,3.3
E63006416,21.9,10.8,3.2
E63006430,25.8,12.7,4.4
E63006439,20.3,9,2.5
E63006447,32.8,16.8,4.7
E63006457,18.1,7,1.9
E63006461,21.7,10.3,3.1
E63006463,15,6.7,1.6
E63006464,24.8,12.7,3.9
E63006465,10.6,4.2,0.9
E63006470,28.4,13.8,3.7
E63006474,22.4,11.1,3.2
E63006478,24,11.8,3.7
E63006482,27.6,14.1,3.9
E63006483,25.3,12.4,4
E63006492,34.5,17.8,5.7
E63006505,19.2,9.2,3.1
E63006507,18.1,8.3,2.6
E63006508,27.3,14.1,4.2
E63006509,22.2,10.6,3.2
E63006511,24.7,11.8,3.6
E63006516,33.2,17.7,5.9
E63006520,14,6.4,2
E63006525,29.8,14.5,4.4
E63006527,24.3,12.6,4
E63006530,25.4,13.5,4.1
E63006535,20.6,10.6,3.1
E63006538,23.4,11.3,3.4
E63006540,24.1,11.3,3.6
E63006541,23.5,12.4,4.2
E63006542,25.4,12.9,3.7
E63006546,27.4,14.4,4.8
E63006549,22.6,11.3,3.6
E63006550,16.1,7.4,1.7
E63006559,25.5,11.4,2.8
E63006564,15.9,6.8,1.7
E63006566,42.5,20.7,5.9
E63006568,37.4,20,6.2
E63006570,35.1,18.5,5.3
E63006572,21.8,9.1,2.4
E63006574,15.7,7.3,2.2
E63006577,38.2,20.7,6.5
E63006581,31.1,15.5,4.4
E63006586,24.2,11.6,3.4
E63006598,27.3,12.4,3.5
E63006602,24.2,12.3,4
E63006603,24.4,12.1,3.3
E63006607,19.7,9,2.4
E63006611,27.9,14.2,4.3
E63006612,40.3,22.6,8.2
E63006613,20.4,9.5,2.8
E63006615,29.2,15.7,4.8
E63006618,27.7,14.1,4.3
E63006619,24.2,11.9,3.7
E63006624,37.1,19.4,5.7
E63006626,35,17.9,5.8
E63006638,26.7,13.7,3.9
E63006650,29.5,14.8,3.9
E63006662,33.5,18.1,5.4
E63006669,24.2,11,2.9
E63006671,32.1,17,6
E63006672,30,14.8,3.9
E63006673,24.4,11.8,3.5
E63006674,22.8,11.7,3.4
E63006678,32.5,18,6
E63006679,23.8,10.3,2.2
E63006681,25.3,12.3,3.4
E63006696,31.7,16.9,5.5
E63006697,50.8,27.6,9.1
E63006699,18,8.8,2.9
E63006700,37.1,18.8,5.6
E63006709,23.2,11,3.1
E63006712,34.8,16.7,5.1
E63006718,15.9,7.7,2.3
E63006720,22.7,11.3,3.5
E63006721,24.3,11,3
E63006732,44,24.6,8.5
E63006736,27.8,14.9,5
E63006744,20.1,9.5,2.6
E63006750,43.2,24.4,8.8
E63006753,17.5,8.8,2.8
E63006755,31.6,16,4.7
E63006762,39.9,19.9,5.9
E63006785,21.5,10.9,3.5
E63006791,29.7,14.8,4.2
E63006799,45.5,24.8,8.1
E63006801,28.8,14.5,4.6
E63006804,27.2,12.9,3.9
E63006806,33.2,15.1,4.3
E63006818,34.9,17.8,5.7
E63006824,34.7,19.6,6.3
E63006825,33.7,15.2,4.7
E63006826,30.3,14.4,3.9
E63006842,30.1,14.3,4.4
E63006844,30.1,15.1,4.5
E63006849,22.4,10.9,3.2
E63006852,29.8,15.7,4.9
E63006857,24.5,10.1,2.4
E63006861,20.9,9.7,2.8
E63006889,19.7,9.3,2.5
E63006890,24.4,11.8,3.6
E63006895,22.6,10.8,3.5
E63006905,20.1,9.2,2.7
E63006907,26.8,12.6,3.7
E63006916,26.4,12.7,3.7
E63006918,26.4,12.1,3.1
E63006926,18.6,8.7,2.5
E63006932,21.1,9.5,2.4
E63006936,33.8,16.4,4.4
E63006937,24.8,11.3,3.2
E63006948,21.6,9.9,2.8
E63006950,33.8,16.1,6.2
E63006956,22.7,10.8,3.1
E63006970,32.5,15.4,4.6
E63006998,22.5,11.7,3.6
E63007004,29.6,15.5,5.7
E63007009,21.8,10.1,2.4
E63007015,20.1,9.7,2.7
E63007021,27.7,12.2,3.1
E63007022,21.2,10,2.9
E63007038,24.6,11.6,3.1
E63007051,15.1,7,1.9
E63007057,21.2,9.9,3
E63007065,26.6,12.8,3.7
E63007077,20.8,10.2,2.9